id,genre_ids,original_title,title,overview,vote_average
269509,"[16, 35, 10751, 14]",The Canterville Ghost,El fantasma de Canterville,"Una familia estadounidense se muda a Canterville Chase, una mansión londinense que ha sido perseguida por el fantasma Sir Simon De Canterville durante 300 años.",6.3
1144962,"[28, 878]",Transmorphers: Mech Beasts,Transmorphers: Bestias mecánicas,"20 años después de los eventos de Transmorphers, una especie más nueva y avanzada de robot alienígena desciende sobre una Tierra reconstruida, amenazando una vez más con destruir el planeta.",5.5
940551,"[16, 28, 12, 35, 10751]",Migration,Migración. Un viaje patas arriba,"La familia Mallard se ha quedado 'estancada'. Mientras papá Mack se siente realizado cuidando de su familia en su estanque de Nueva Inglaterra, mamá Pam se muere de ganas de vivir la vida y hacer descubrir a sus hijos –el adolescente Dax y la patita Gwen– el mundo en toda su amplitud. Después de que una familia de patos migratorios llegue a su estanque con maravillosas historias de lugares lejanos, Pam consigue convencer a Mack de que deben viajar a la tropical Jamaica pasando por Nueva York. Los Mallard emprenden el viaje hacia el sur para pasar el invierno, pero nada sale como estaba previsto. La experiencia les ayudará a descubrir horizontes desconocidos, a hacer nuevos amigos, a vivir experiencias que jamás imaginaron, y de paso, a conocerse mejor.",7.4
385687,"[28, 80, 53]",Fast X,Fast & Furious X,"Durante numerosas misiones más que imposibles, Dom Toretto y su familia han sido capaces de ser más listos, de tener más valor y de ir más rápido que cualquier enemigo que se cruzara con ellos. Pero ahora tendrán que enfrentarse al oponente más letal que jamás hayan conocido: Un terrible peligro que resurge del pasado, que se mueve por una sangrienta sed de venganza y que está dispuesto a destrozar a la familia y destruir para siempre todo lo que a Dom le importa.",7.083
569094,"[16, 28, 12, 878]",Spider-Man: Across the Spider-Verse,Spider-Man: Cruzando el Multiverso,"Tras reencontrarse con Gwen Stacy, el amigable vecindario de Spider-Man de Brooklyn al completo es catapultado a través del Multiverso, donde se encuentra con un equipo de Spidermans encargados de proteger su propia existencia. Pero cuando los héroes se enfrentan sobre cómo manejar una nueva amenaza, Miles se encuentra enfrentado a las otras Arañas y debe redefinir lo que significa ser un héroe para poder salvar a la gente que más quiere.",8.4
1145491,"[28, 53]",Operation Black Ops,Operation Black Ops,,5.6
787699,"[35, 10751, 14]",Wonka,Wonka,"Basada en el personaje que protagoniza ""Charlie y la fábrica de chocolate"", el libro infantil más emblemático de Roald Dahl y uno de los más vendidos de todos los tiempos, ""Wonka"" cuenta la historia de cómo el mayor inventor, mago y chocolatero del mundo se convirtió en el querido Willy Wonka que conocemos hoy en día.",7.117
667538,"[878, 12, 28]",Transformers: Rise of the Beasts,Transformers: El despertar de las bestias,"Cuando surge una nueva amenaza capaz de destruir todo el planeta, Optimus Prime y los Autobots deben unirse a una poderosa facción conocida como los Maximals. Con el destino de la humanidad en juego, los humanos Noah y Elena harán lo que sea necesario para ayudar a los Transformers mientras se involucran en la batalla final para salvar la Tierra.",7.3
603692,"[28, 53, 80]",John Wick: Chapter 4,John Wick 4,"John Wick descubre un camino para derrotar a la Alta Mesa. Pero para poder ganar su libertad, Wick deberá enfrentarse a un nuevo rival con poderosas alianzas en todo el mundo, capaz de convertir a viejos amigos en enemigos.",7.732
1059264,"[16, 12, 35, 10751]",The Inseparables,Héroes de Central Park,"Un títere de Don Quijote fugitivo con una imaginación ilimitada, y DJ Doggy Dog, un peluche abandonado que necesita un amigo, cruzarán sus caminos en Central Park y se unirán contra viento y marea para una épica aventura de amistad en la ciudad de Nueva York.",6.4
502356,"[16, 10751, 12, 14, 35]",The Super Mario Bros. Movie,Super Mario Bros: La película,"Mientras trabajan en una avería subterránea, los fontaneros de Brooklyn, Mario y su hermano Luigi, viajan por una misteriosa tubería hasta un nuevo mundo mágico. Pero, cuando los hermanos se separan, Mario deberá emprender una épica misión para encontrar a Luigi.",7.642
872585,"[18, 36]",Oppenheimer,Oppenheimer,Película sobre el físico J. Robert Oppenheimer y su papel como desarrollador de la bomba atómica. Basada en el libro 'American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer' de Kai Bird y Martin J. Sherwin.,8.1
565770,"[28, 878, 12]",Blue Beetle,Blue Beetle,Un adolescente mexicano encuentra un escarabajo alienígena que le proporciona una armadura superpoderosa.,6.7
976573,"[16, 35, 10751, 14, 10749]",Elemental,Elemental,"En una ciudad donde los residentes del fuego, el agua, la tierra y el aire viven juntos, una joven apasionada y un chico que se deja llevar por la corriente descubrirán algo elemental: cuánto tienen en común.",7.63
346698,"[35, 12]",Barbie,Barbie,"Barbie vive en Barbieland donde todo es ideal y lleno de música y color. Un buen día decide conocer el mundo real. Cuando el CEO de Mattel se entere, tratará de evitarlo a toda costa y devolver a Barbie a una caja.",7.0
609681,"[878, 12, 28]",The Marvels,The Marvels,"Cuando sus obligaciones la envían a un agujero de gusano vinculado a un revolucionario kree, los poderes de Carol Danvers, la capitana Marvel, se entremezclan con los de Kamala Khan, también conocida como la Sra. Marvel y la sobrina de Carol, ahora astronauta de S.A.B.E.R., Monica Rambeau. Juntas, deberán salvar el universo como ""The Marvels"".",6.1
299054,"[28, 12, 53]",Expend4bles,Los mercen4rios,"Cuarta entrega de la saga Los Mercenarios. El veterano mercenario Barney “Esquizo” Ross (Sylvester Stallone) y su equipo de estrellas, formado por los hombres más duros (Jason Statham, Dolph Lundgren, 50 Cent, Megan Fox…), afrontan un nuevo desafío, en una trama cargada de acción. Para superarlo y salir airosos, deberán recurrir a su ingenio, experiencia y a la fuerza bruta que los caracteriza.",6.2
1022796,"[16, 10751, 14, 12]",Wish,Wish: El poder de los deseos,"Asha y una pequeña bola de energía ilimitada llamada Star demuestran que cuando la voluntad de un ser humano valiente se conecta con la magia de las estrellas, pueden suceder cosas maravillosas.",6.332
1122504,[27],Exorcism in Utero,Exorcism in Utero,,5.8
792307,"[878, 10749, 35]",Poor Things,Pobres criaturas,"Bella Baxter es una joven revivida por el brillante y poco ortodoxo científico Dr. Godwin Baxter. Bajo la protección de Baxter, Bella está ansiosa por aprender. Hambrienta de la mundanidad que le falta, Bella se escapa con Duncan Wedderburn, un sofisticado y perverso abogado, en una aventura vertiginosa a través de los continentes. Libre de los prejuicios de su época, Bella se vuelve firme en su propósito de defender la igualdad y la liberación.",7.7
